Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
results/game11.truth,    35,    30,    33,    34,    39,    29,    29,    22,    27,    28,    40,
results/game12.truth,    34,    29,    35,    38,    38,    32,    30,    22,    34,    33,    36,
results/game13.truth,    35,    31,    41,    41,    41,    37,    31,    23,    34,    32,    40,
results/game14.truth,    33,    29,    32,    34,    27,    31,    25,    22,    30,    28,    33,
results/game15.truth,    32,    31,    39,    28,    34,    32,    30,    23,    31,    32,    35,
results/game16.truth,    33,    29,    34,    36,    39,    34,    26,    24,    34,    33,    35,
results/game17.truth,    33,    34,    38,    38,    37,    33,    27,    25,    37,    34,    39,
results/game18.truth,    35,    31,    36,    32,    40,    34,    29,    23,    32,    31,    35,
results/game19.truth,    29,    32,    34,    32,    37,    31,    31,    22,    32,    34,    37,
results/game20.truth,    38,    30,    38,    33,    39,    34,    30,    24,    35,    30,    38,
results/game21.truth,    29,    27,    30,    30,    37,    28,    30,    22,    31,    28,    31,
results/game22.truth,    30,    28,    30,    30,    35,    32,    26,    21,    33,    27,    31,
results/game23.truth,    29,    29,    28,    29,    31,    30,    27,    23,    31,    26,    27,
results/game24.truth,    27,    28,    35,    30,    37,    33,    28,    21,    32,    26,    35,
results/game25.truth,    33,    25,    37,    33,    37,    33,    28,    21,    32,    31,    38,
results/game26.truth,    30,    30,    30,    30,    33,    30,    24,    21,    30,    25,    34,
results/game27.truth,    27,    28,    31,    29,    36,    33,    29,    22,    34,    26,    30,
results/game28.truth,    29,    31,    35,    32,    34,    31,    28,    20,    31,    26,    33,
results/game29.truth,    29,    30,    32,    31,    35,    30,    26,    22,    31,    28,    33,
results/game30.truth,    30,    33,    34,    27,    33,    31,    26,    23,    31,    21,    35,
results/game31.truth,    25,    34,    34,    24,    31,    29,    25,    23,    31,    22,    31,
results/game32.truth,    30,    35,    33,    31,    32,    32,    28,    23,    33,    27,    32,
results/game33.truth,    28,    33,    31,    31,    30,    32,    26,    23,    33,    27,    30,
results/game34.truth,    32,    37,    37,    31,    38,    36,    28,    21,    31,    31,    32,
results/game35.truth,    30,    35,    33,    29,    34,    32,    30,    23,    33,    27,    32,
results/game36.truth,    30,    35,    33,    31,    36,    32,    26,    25,    35,    29,    30,
results/game37.truth,    34,    37,    35,    33,    40,    36,    30,    25,    33,    31,    32,
results/game38.truth,    34,    37,    41,    33,    42,    36,    30,    23,    37,    33,    36,
results/game39.truth,    34,    37,    37,    33,    38,    36,    30,    25,    37,    31,    36,
results/game40.truth,    38,    41,    41,    37,    42,    38,    36,    27,    37,    31,    40,
results/game41.truth,    40,    41,    43,    41,    44,    42,    36,    27,    41,    35,    42,
results/game42.truth,    36,    39,    43,    35,    42,    42,    36,    25,    39,    35,    38,
results/game43.truth,    40,    39,    43,    39,    44,    42,    38,    25,    41,    37,    42,
results/game44.truth,    42,    39,    45,    41,    46,    42,    36,    27,    41,    39,    44,
results/game45.truth,    38,    39,    45,    37,    46,    42,    36,    27,    41,    37,    40,
results/game46.truth,    38,    41,    43,    37,    44,    42,    36,    29,    43,    35,    40,
results/game47.truth,    40,    41,    43,    41,    44,    46,    38,    29,    43,    37,    44,
results/game48.truth,    40,    43,    43,    39,    44,    46,    38,    31,    43,    37,    42,

Max Score
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
results/game00.truth,   161,   155,   175,   163,   163,   159,   162,   120,   152,   155,   168,
results/game01.truth,   166,   162,   167,   173,   166,   166,   164,   117,   160,   159,   176,
results/game02.truth,   175,   163,   171,   161,   165,   165,   172,   122,   147,   160,   176,
results/game03.truth,   164,   157,   169,   171,   157,   162,   161,   120,   154,   173,   166,
results/game04.truth,   166,   166,   168,   174,   162,   171,   172,   116,   169,   163,   184,
results/game05.truth,   176,   151,   172,   166,   160,   167,   159,   115,   158,   158,   163,
results/game06.truth,   168,   163,   169,   167,   172,   159,   165,   117,   153,   155,   179,
results/game07.truth,   171,   155,   167,   167,   167,   160,   165,   125,   157,   157,   171,
results/game08.truth,   171,   158,   178,   159,   168,   164,   163,   126,   153,   147,   166,
results/game09.truth,   161,   156,   162,   169,   164,   161,   165,   132,   164,   141,   163,
results/game10.truth,   167,   161,   167,   170,   159,   162,   166,   119,   156,   143,   174,
results/game11.truth,   170,   149,   169,   163,   160,   167,   163,   129,   151,   148,   173,
results/game12.truth,   163,   155,   168,   179,   173,   167,   168,   126,   158,   144,   166,
results/game13.truth,   169,   146,   171,   172,   163,   161,   162,   118,   150,   144,   174,
results/game14.truth,   167,   164,   172,   168,   160,   155,   172,   129,   160,   146,   164,
results/game15.truth,   166,   155,   174,   171,   160,   167,   165,   121,   163,   142,   167,
results/game16.truth,   160,   157,   172,   173,   165,   166,   158,   120,   164,   142,   170,
