Probability of Winning
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
Round 2 Game 3: Indiana defeats Kentucky,    0.0000,    0.0000,    1.2400,    1.3100,    0.0000,    0.0000,    5.4700,    0.2900,    0.0000,   22.3100,    0.0000,   71.3000,    2.0000,    0.0000,
Round 2 Game 4: Iowa State defeats Arkansas-Little Rock,    0.0000,    0.0000,    1.2600,    1.4300,    0.0000,    0.0000,    4.8800,    0.2800,    0.0000,   22.6500,    0.0000,   71.3300,    2.1100,    0.0000,
Round 2 Game 5: Virginia defeats Butler,    0.0000,    0.0000,    1.5300,    1.3000,    0.0200,    0.0000,    4.5500,    0.3800,    0.0000,   22.2700,    0.0000,   71.5800,    2.1600,    0.0000,
Round 2 Game 6: Kansas defeats Connecticut,    0.0000,    0.0000,    2.0000,    0.9500,    0.0100,    0.0000,    4.1500,    0.2200,    0.0000,   17.9900,    0.0000,   75.6500,    2.6500,    0.0000,
Round 2 Game 7: Gonzaga defeats Utah,    0.0000,    0.0000,    2.0300,    1.1000,    0.0000,    0.0000,    7.0500,    0.1300,    0.0000,   16.0600,    0.0000,   77.7500,    0.0000,    0.0000,
Round 2 Game 8: North Carolina defeats Providence,    0.0000,    0.0000,    1.7600,    0.8800,    0.0000,    0.0000,    7.4300,    0.1600,    0.0000,   17.1300,    0.0000,   76.8700,    0.0000,    0.0000,
Round 2 Game 9: Villanova defeats Iowa,    0.0000,    0.0000,    1.2500,    0.6900,    0.0000,    0.0000,    7.5300,    0.2300,    0.0000,   16.4800,    0.0000,   77.7800,    0.0000,    0.0000,
Round 2 Game 10: Notre Dame defeats Stephen F. Austin,    0.0000,    0.0000,    2.0900,    1.0400,    0.0000,    0.0000,    8.9700,    0.4100,    0.0000,   21.2900,    0.0000,   71.8500,    0.0000,    0.0000,
Round 2 Game 11: Oklahoma defeats Virginia Commonwealth,    0.0000,    0.0000,    0.9600,    0.4200,    0.0000,    0.0000,    7.3800,    0.4800,    0.0000,   20.2300,    0.0000,   75.6300,    0.0000,    0.0000,
Round 2 Game 12: Syracuse defeats Middle Tennessee,    0.0000,    0.0000,    1.2300,    0.4000,    0.0000,    0.0000,    7.2900,    0.6200,    0.0000,   20.0000,    0.0000,   76.1900,    0.0000,    0.0000,
Round 2 Game 13: Maryland defeats Hawaii,    0.0000,    0.0000,    1.1400,    0.5100,    0.0000,    0.0000,    7.5400,    0.5500,    0.0000,   21.0200,    0.0000,   75.1900,    0.0000,    0.0000,
Round 2 Game 14: Texas A&M defeats Northern Iowa,    0.0000,    0.0000,    1.5000,    0.4100,    0.0000,    0.0000,    8.1900,    0.5200,    0.0000,   22.7700,    0.0000,   73.7400,    0.0000,    0.0000,
Round 2 Game 15: Wisconsin defeats Xavier,    0.0000,    0.0000,    1.3200,    0.4700,    0.0000,    0.0000,   12.3800,    0.0000,    0.0000,   34.6100,    0.0000,   54.1500,    0.0000,    0.0000,
Round 2 Game 16: Oregon defeats Saint Joseph's,    0.0000,    0.0000,    1.3900,    0.7400,    0.0000,    0.0000,   16.9000,    0.0000,    0.0000,   31.8700,    0.0000,   52.7600,    0.0000,    0.0000,

Best Finish
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
initial   ,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
Round 1 Game 1: Duke defeats North Carolina-Wilmington,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
Round 1 Game 2: Butler defeats Texas Tech,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
Round 1 Game 3: Connecticut defeats Colorado,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,     1,
